CountryISO2Code,Country,LocationCode,LocationName,NotificationRate,NotificationRateGeoLevel,VaccineUptake,VaccineGeoLevel,TestingRate,TestingGeoLevel,WeightedRate,Colour,Week
ES,Spain,ES61,Andalucía,1612.239465,Regional,75.8748397,National,2053.542057,Regional,1000.59741,Dark Red,2022-03
ES,Spain,ES62,Región de Murcia,5935.333906,Regional,75.8748397,National,5937.260984,Regional,3683.621363,Dark Red,2022-03
ES,Spain,ES63,Ciudad de Ceuta,6128.322531,Regional,75.8748397,National,9322.709163,Regional,3803.395082,Dark Red,2022-03
ES,Spain,ES64,Ciudad de Melilla,4029.68996,Regional,75.8748397,National,2332.106117,Regional,2500.929561,Dark Red,2022-03
ES,Spain,ES70,Canarias,2539.436887,Regional,75.8748397,National,2960.806297,Regional,1576.040053,Dark Red,2022-03
FI,Finland,FI19,Länsi-Suomi,1732.85209,Regional,75.70706748,Regional,2710.32864,Regional,1076.90634,Dark Red,2022-03
FI,Finland,FI1B,Helsinki-Uusimaa,3356.581692,Regional,70.20006214,Regional,3657.695779,Regional,2178.420475,Dark Red,2022-03
FI,Finland,FI1C,Etelä-Suomi,1649.033682,Regional,77.34728768,Regional,2547.9764,Regional,1011.292269,Dark Red,2022-03
FI,Finland,FI1D,Pohjois- ja Itä-Suomi,1309.694525,Regional,75.51878095,Regional,2631.202195,Regional,815.161855,Dark Red,2022-03
FI,Finland,FI20,Åland,4845.402222,Regional,77.26208004,Regional,7308.2586,Regional,2973.57295,Dark Red,2022-03
FR,France,FR1,Ile-de-France,7348.906245,Regional,69.05884259,Regional,12072.62025,Regional,4811.371447,Dark Red,2022-03
FR,France,FRB,Centre — Val de Loire,5471.82357,Regional,76.3943227,Regional,9173.426936,Regional,3381.742292,Dark Red,2022-03
FR,France,FRC,Bourgogne-Franche-Comté,5657.721889,Regional,73.62302681,Regional,10023.05586,Regional,3575.028838,Dark Red,2022-03
FR,France,FRD,Normandie,5566.132035,Regional,78.10035033,Regional,9974.461525,Regional,3392.547725,Dark Red,2022-03
FR,France,FRE,Hauts-de-France,6424.702248,Regional,74.11912064,Regional,12973.72405,Regional,4043.735843,Dark Red,2022-03
FR,France,FRF,Grand Est,5772.866412,Regional,73.20268309,Regional,11848.49644,Regional,3659.919859,Dark Red,2022-03
FR,France,FRG,Pays de la Loire,6557.055914,Regional,77.65895903,Regional,10474.51289,Regional,4010.985231,Dark Red,2022-03
FR,France,FRH,Bretagne,5577.092794,Regional,80.31215498,Regional,9445.905404,Regional,3337.55109,Dark Red,2022-03
FR,France,FRI,Nouvelle-Aquitaine,5776.877801,Regional,77.9102137,Regional,9986.634375,Regional,3526.488881,Dark Red,2022-03
FR,France,FRJ,Occitanie,6378.638575,Regional,72.63970026,Regional,11990.57436,Regional,4061.926604,Dark Red,2022-03
FR,France,FRK,Auvergne-Rhône-Alpes,7377.793011,Regional,71.18445028,Regional,11021.66305,Regional,4751.872312,Dark Red,2022-03
FR,France,FRL,Provence-Alpes-Côte d’Azur,6987.282529,Regional,69.1853327,Regional,13557.20105,Regional,4570.195197,Dark Red,2022-03
FR,France,FRM,Corse,5079.120009,Regional,63.95261762,Regional,11196.50039,Regional,3455.00491,Dark Red,2022-03
FR,France,FRY1,Guadeloupe,7671.282004,Regional,0.929771592,Regional,12001.49267,Regional,7635.619304,Dark Red,2022-03
FR,France,FRY2,Martinique,6042.170968,Regional,1.233946879,Regional,15349.02076,Regional,6004.892378,Dark Red,2022-03
FR,France,FRY3,Guyane,4816.964379,Regional,1.127093993,Regional,5381.72629,Regional,4789.818521,Dark Red,2022-03
FR,France,FRY4,La Réunion,9076.29969,Regional,1.642162412,Regional,13272.67762,Regional,9001.775899,Dark Red,2022-03
FR,France,FRY5,Mayotte,2129.955615,Regional,1.525494217,Regional,3368.276891,Regional,2113.709441,Dark Red,2022-03
HR,Croatia,HR02,Panonska Hrvatska,1929.619537,Regional,54.08752478,National,5918.455701,Regional,1407.777815,Dark Red,2022-03
HR,Croatia,HR03,Jadranska Hrvatska,3161.518181,Regional,54.08752478,National,7556.984194,Regional,2306.524716,Dark Red,2022-03
HR,Croatia,HR05,Grad Zagreb,3409.145675,Regional,54.08752478,National,7682.935118,Regional,2487.184419,Dark Red,2022-03
HR,Croatia,HR06,Sjeverna Hrvatska,2482.3326,Regional,54.08752478,National,6056.675571,Regional,1811.01647,Dark Red,2022-03
HU,Hungary,HU11,Budapest,2026.664137,Regional,61.7054809,National,2706.446556,National,1401.382711,Dark Red,2022-03
HU,Hungary,HU12,Pest,1992.441612,Regional,61.7054809,National,2706.446556,National,1377.718773,Dark Red,2022-03
HU,Hungary,HU21,Közép-Dunántúl,1546.35142,Regional,61.7054809,National,2706.446556,National,1069.25963,Dark Red,2022-03
HU,Hungary,HU22,Nyugat-Dunántúl,2000.404203,Regional,61.7054809,National,2706.446556,National,1383.224687,Dark Red,2022-03
HU,Hungary,HU23,Dél-Dunántúl,1463.91439,Regional,61.7054809,National,2706.446556,National,1012.256683,Dark Red,2022-03
HU,Hungary,HU31,Észak-Magyarország,883.265077,Regional,61.7054809,National,2706.446556,National,610.7535953,Dark Red,2022-03
HU,Hungary,HU32,Észak-Alföld,1084.039205,Regional,61.7054809,National,2706.446556,National,749.5834029,Dark Red,2022-03
